"manual_q2_node"; "code";"title"
"productie"; "2849";Vervaardiging van gereedschapswerktuigen niet voor metaalbewerking
"productie"; "2891";Vervaardiging van machines voor de metallurgie
"productie"; "2892";Vervaardiging van machines voor de bouw en winning van delfstoffen
"productie"; "2893";Vervaardiging van machines voor de productie van voedings- en genotmiddelen
"productie"; "2894";"Vervaardiging van machines voor de productie van textiel, kleding en leer"
"productie"; "2895";Vervaardiging van machines voor de productie van papier en karton
"productie"; "2896";Vervaardiging van machines voor de kunststof- en rubberindustrie
"productie"; "2899";"Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden (rest)"
"productie"; "2910";Vervaardiging van auto's
"productie"; "2920";Carrosseriebouw, vervaardiging van aanhangwagens en opleggers
"productie"; "29201";Carrosseriebouw
"productie"; "29202";Vervaardiging van aanhangwagens en opleggers
"productie"; "2931";Vervaardiging van elektrische en elektronische onderdelen en toebehoren voor auto's
"productie"; "2932";Vervaardiging van niet-elektrische en -elektronische onderdelen en toebehoren voor auto's
"productie"; "3011";Bouw van schepen en drijvend materieel (geen sport- en recreatievaartuigen)
"productie"; "3012";Bouw van sport- en recreatievaartuigen
"productie"; "3020";Vervaardiging van rollend spoor- en tramwegmaterieel
"productie"; "3030";Vervaardiging van vliegtuigen en onderdelen daarvoor
"productie"; "3040";Vervaardiging van militaire gevechtsvoertuigen
"productie"; "3091";Vervaardiging van motor- en bromfietsen
"productie"; "3092";Vervaardiging van fietsen en invalidenwagens
"productie"; "3099";Vervaardiging van overige transportmiddelen (rest)
"productie"; "3101";interieurbouw en vervaardiging van bedrijfsmeubels
"productie"; "31011";Interieurbouw
"productie"; "31012";Vervaardiging van bedrijfsmeubels
"productie"; "3102";Vervaardiging van keukenmeubels
"productie"; "3103";Vervaardiging van matrassen
"productie"; "3109";Vervaardiging van overige meubels
"productie"; "3211";Slaan van munten en medailles
"productie"; "3212";Bewerken van edelstenen en vervaardiging van sieraden e.d. (geen imitatie)
"productie"; "3213";Vervaardiging van imitatiesieraden
"productie"; "3220";Vervaardiging van muziekinstrumenten
"productie"; "3230";Vervaardiging van sportartikelen
"productie"; "3240";Vervaardiging van spellen en speelgoed
"productie"; "3250";Vervaardiging van medische instrumenten en hulpmiddelen
"productie"; "32501";Tandtechnische bedrijven
"productie"; "32502";Vervaardiging van medische instrumenten en hulpmiddelen (geen tandtechniek)
"productie"; "3291";Vervaardiging van borstelwaren
"productie"; "3299";Sociale werkvoorziening en vervaardiging van overige goederen (rest)
"productie"; "32991";Sociale werkvoorziening
"productie"; "32999";Vervaardiging van overige goederen (rest)
"productie"; "3511";Productie van elektriciteit
"productie"; "35111";"Productie van elektriciteit door thermische, en nucleaire installaties"
"productie"; "35112";Productie van elektriciteit door windenergie
"productie"; "35113";"Productie van elektriciteit door zonnecellen, en waterkracht"
"productie"; "3512";"Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water"
"productie"; "3513";Distributie van elektriciteit en gasvormige brandstoffen via leidingen
